frame,t,mode,fps,L_body_x,L_body_y,L_body_z,R_body_x,R_body_y,R_body_z,L_tgt_x,R_tgt_x
834,67.106,single_2d,12.4,0.0439,-0.0000,-0.4547,-0.1714,0.0000,-0.4473,-0.0000,-0.0000
835,67.129,single_2d,12.5,0.0467,-0.0000,-0.4554,-0.1773,-0.0000,-0.4437,-0.0000,-0.0000
836,67.154,single_2d,12.5,0.0492,-0.0000,-0.4565,-0.1827,-0.0000,-0.4404,-0.0000,-0.0000
837,67.315,single_2d,12.4,0.0497,-0.0000,-0.4561,-0.1877,-0.0000,-0.4369,-0.0000,-0.0000
838,67.338,single_2d,12.5,0.0512,0.0000,-0.4557,-0.1948,0.0000,-0.4339,-0.0000,-0.0000
839,67.361,single_2d,12.5,0.0517,-0.0000,-0.4544,-0.2023,-0.0000,-0.4314,-0.0000,-0.0000
840,67.517,single_2d,12.5,0.0526,-0.0000,-0.4536,-0.2093,-0.0000,-0.4270,-0.0000,-0.0000
841,67.540,single_2d,12.5,0.0513,0.0000,-0.4518,-0.2164,0.0000,-0.4223,-0.0000,-0.0000
842,67.564,single_2d,12.5,0.0500,-0.0000,-0.4503,-0.2242,-0.0000,-0.4183,-0.0000,-0.0000
843,67.723,single_2d,12.5,0.0488,0.0000,-0.4488,-0.2320,0.0000,-0.4151,-0.0000,-0.0000
844,67.755,single_2d,12.5,0.0475,0.0000,-0.4478,-0.2396,-0.0000,-0.4116,-0.0000,-0.0000
845,67.784,single_2d,12.5,0.0465,-0.0000,-0.4470,-0.2471,0.0000,-0.4074,-0.0000,-0.0000
846,67.937,single_2d,12.5,0.0470,-0.0000,-0.4462,-0.2540,-0.0000,-0.4033,-0.0000,-0.0000
847,67.958,single_2d,12.5,0.0455,-0.0000,-0.4456,-0.2631,-0.0000,-0.3991,-0.0000,-0.0000
848,67.983,single_2d,12.5,0.0456,0.0000,-0.4462,-0.2715,0.0000,-0.3944,-0.0000,-0.0000
849,68.142,single_2d,12.5,0.0466,-0.0000,-0.4471,-0.2786,-0.0000,-0.3892,-0.0000,-0.0000
850,68.166,single_2d,12.5,0.0478,0.0000,-0.4476,-0.2852,0.0000,-0.3849,-0.0000,-0.0000
851,68.188,single_2d,12.5,0.0496,-0.0000,-0.4478,-0.2914,-0.0000,-0.3791,-0.0000,-0.0000
852,68.347,single_2d,12.5,0.0508,-0.0000,-0.4467,-0.2974,-0.0000,-0.3724,-0.0000,-0.0000
853,68.369,single_2d,12.5,0.0519,0.0000,-0.4457,-0.3032,0.0000,-0.3658,-0.0000,-0.0000
854,68.393,single_2d,12.5,0.0527,-0.0000,-0.4449,-0.3084,-0.0000,-0.3596,-0.0000,-0.0000
855,68.552,single_2d,12.5,0.0544,-0.0000,-0.4443,-0.3127,0.0000,-0.3537,-0.0000,-0.0000
856,68.575,single_2d,12.5,0.0557,0.0000,-0.4439,-0.3168,-0.0000,-0.3487,-0.0000,-0.0000
857,68.603,single_2d,12.5,0.0576,0.0000,-0.4428,-0.3214,-0.0000,-0.3437,-0.0000,-0.0000
858,68.782,single_2d,12.5,0.0593,-0.0000,-0.4438,-0.3264,-0.0000,-0.3390,-0.0000,-0.0000
859,68.804,single_2d,12.5,0.0597,0.0000,-0.4434,-0.3311,0.0000,-0.3338,-0.0000,-0.0000
860,68.828,single_2d,12.5,0.0602,-0.0000,-0.4431,-0.3356,-0.0000,-0.3279,-0.0000,-0.0000
861,68.984,single_2d,12.5,0.0612,-0.0000,-0.4425,-0.3397,-0.0000,-0.3210,-0.0000,-0.0000
862,69.007,single_2d,12.5,0.0639,-0.0000,-0.4426,-0.3453,-0.0000,-0.3146,-0.0000,-0.0000
863,69.052,single_2d,12.5,0.0666,-0.0000,-0.4422,-0.3502,-0.0000,-0.3072,-0.0000,-0.0000
864,69.218,single_2d,12.5,0.0681,0.0000,-0.4394,-0.3547,0.0000,-0.2985,-0.0000,-0.0000
865,69.240,single_2d,12.5,0.0710,-0.0000,-0.4392,-0.3580,-0.0000,-0.2910,-0.0000,-0.0000
866,69.264,single_2d,12.5,0.0732,-0.0000,-0.4400,-0.3608,-0.0000,-0.2843,-0.0000,-0.0000
867,69.418,single_2d,12.5,0.0748,0.0000,-0.4403,-0.3633,0.0000,-0.2772,-0.0000,-0.0000
868,69.440,single_2d,12.5,0.0749,-0.0000,-0.4405,-0.3657,-0.0000,-0.2697,-0.0000,-0.0000
869,69.464,single_2d,12.5,0.0757,0.0000,-0.4410,-0.3691,0.0000,-0.2608,-0.0000,-0.0000
870,69.621,single_2d,12.5,0.0781,0.0000,-0.4430,-0.3731,0.0000,-0.2519,-0.0000,-0.0000
871,69.644,single_2d,12.5,0.0800,0.0000,-0.4439,-0.3775,0.0000,-0.2417,-0.0000,-0.0000
872,69.677,single_2d,12.5,0.0824,0.0000,-0.4452,-0.3837,0.0000,-0.2272,-0.0000,-0.0000
873,69.841,single_2d,12.5,0.0855,0.0000,-0.4457,-0.3886,0.0000,-0.2135,-0.0000,-0.0000
874,69.863,single_2d,12.5,0.0869,0.0000,-0.4455,-0.3946,-0.0000,-0.1995,-0.0000,-0.0000
875,69.885,single_2d,12.5,0.0891,0.0000,-0.4459,-0.3993,0.0000,-0.1852,-0.0000,-0.0000
876,70.048,single_2d,12.5,0.0918,-0.0000,-0.4464,-0.4031,0.0000,-0.1715,-0.0000,-0.0000
877,70.072,single_2d,12.5,0.0933,-0.0000,-0.4481,-0.4065,0.0000,-0.1582,-0.0000,-0.0000
878,70.096,single_2d,12.5,0.0950,0.0000,-0.4498,-0.4092,-0.0000,-0.1445,-0.0000,-0.0000
879,70.255,single_2d,12.5,0.0953,-0.0000,-0.4521,-0.4127,0.0000,-0.1321,-0.0000,-0.0000
880,70.278,single_2d,12.5,0.0977,-0.0000,-0.4542,-0.4152,-0.0000,-0.1219,-0.0000,-0.0000
881,70.301,single_2d,12.5,0.0979,0.0000,-0.4560,-0.4144,-0.0000,-0.1099,-0.0000,-0.0000
882,70.461,single_2d,12.5,0.0983,-0.0000,-0.4576,-0.4149,0.0000,-0.0998,-0.0000,-0.0000
883,70.483,single_2d,12.5,0.0988,0.0000,-0.4589,-0.4144,-0.0000,-0.0900,-0.0000,-0.0000
884,70.507,single_2d,12.6,0.0989,-0.0000,-0.4596,-0.4145,-0.0000,-0.0791,-0.0000,-0.0000
885,70.672,single_2d,12.5,0.0988,0.0000,-0.4604,-0.4140,0.0000,-0.0685,-0.0000,-0.0000
886,70.694,single_2d,12.5,0.0992,0.0000,-0.4602,-0.4144,-0.0000,-0.0583,-0.0000,-0.0000
887,70.718,single_2d,12.6,0.0995,-0.0000,-0.4600,-0.4149,0.0000,-0.0489,-0.0000,-0.0000
888,70.884,single_2d,12.5,0.0994,0.0000,-0.4598,-0.4152,-0.0000,-0.0378,-0.0000,-0.0000
889,70.906,single_2d,12.6,0.0989,0.0000,-0.4600,-0.4132,0.0000,-0.0288,-0.0000,-0.0000
890,70.928,single_2d,12.6,0.0962,-0.0000,-0.4593,-0.4109,0.0000,-0.0170,-0.0000,-0.0000
891,71.085,single_2d,12.5,0.0944,-0.0000,-0.4582,-0.4093,0.0000,-0.0052,-0.0000,-0.0000
892,71.108,single_2d,12.6,0.0935,0.0000,-0.4570,-0.4089,-0.0000,0.0084,-0.0000,-0.0000
893,71.135,single_2d,12.6,0.0928,0.0000,-0.4561,-0.4082,-0.0000,0.0223,-0.0000,-0.0000
894,71.295,single_2d,12.6,0.0922,0.0000,-0.4555,-0.4069,-0.0000,0.0361,-0.0000,-0.0000
895,71.317,single_2d,12.6,0.0921,-0.0000,-0.4550,-0.4036,0.0000,0.0487,-0.0000,-0.0000
896,71.339,single_2d,12.6,0.0917,0.0000,-0.4543,-0.3984,-0.0000,0.0623,-0.0000,-0.0000
897,71.507,single_2d,12.6,0.0908,0.0000,-0.4542,-0.3914,-0.0000,0.0760,-0.0000,-0.0000
898,71.543,single_2d,12.6,0.0897,-0.0000,-0.4548,-0.3835,0.0000,0.0892,-0.0000,-0.0000
899,71.578,single_2d,12.6,0.0917,0.0000,-0.4564,-0.3783,0.0000,0.1125,-0.0000,-0.0000
900,71.727,single_2d,12.6,0.0930,0.0000,-0.4580,-0.3690,0.0000,0.1292,-0.0000,-0.0000
901,71.748,single_2d,12.6,0.0931,-0.0000,-0.4592,-0.3578,0.0000,0.1433,-0.0000,-0.0000
902,71.772,single_2d,12.6,0.0921,-0.0000,-0.4611,-0.3435,-0.0000,0.1613,-0.0000,-0.0000
903,71.942,single_2d,12.6,0.0923,-0.0000,-0.4625,-0.3306,0.0000,0.1757,-0.0000,-0.0000
904,71.967,single_2d,12.6,0.0949,0.0000,-0.4646,-0.3277,-0.0000,0.1994,-0.0000,-0.0000
905,71.995,single_2d,12.6,0.0966,-0.0000,-0.4656,-0.3220,0.0000,0.2193,-0.0000,-0.0000
906,72.167,single_2d,12.6,0.0974,0.0000,-0.4663,-0.3175,0.0000,0.2393,-0.0000,-0.0000
907,72.191,single_2d,12.6,0.0979,-0.0000,-0.4667,-0.3101,0.0000,0.2536,-0.0000,-0.0000
908,72.219,single_2d,12.6,0.0981,0.0000,-0.4667,-0.2960,-0.0000,0.2710,-0.0000,-0.0000
909,72.387,single_2d,12.6,0.0968,0.0000,-0.4658,-0.2788,0.0000,0.2869,-0.0000,-0.0000
910,72.408,single_2d,12.6,0.0944,-0.0000,-0.4638,-0.2610,0.0000,0.2994,-0.0000,-0.0000
911,72.434,single_2d,12.6,0.0912,-0.0000,-0.4617,-0.2431,0.0000,0.3109,-0.0000,-0.0000
912,72.601,single_2d,12.6,0.0867,0.0000,-0.4594,-0.2282,0.0000,0.3213,-0.0000,-0.0000
913,72.623,single_2d,12.6,0.0831,0.0000,-0.4549,-0.2171,0.0000,0.3331,-0.0000,-0.0000
914,72.651,single_2d,12.6,0.0782,0.0000,-0.4526,-0.2004,-0.0000,0.3435,-0.0000,-0.0000
915,72.815,single_2d,12.6,0.0717,0.0000,-0.4497,-0.1840,0.0000,0.3510,-0.0000,-0.0000
